,range,count,Frequency1,range2,count2,Frequency2
107,"(6420, 6480]",448,7.466666666666667,"(6420, 6480]",117,1.95
108,"(6480, 6540]",154,2.566666666666667,"(6480, 6540]",136,2.2666666666666666
109,"(6540, 6600]",135,2.25,"(6540, 6600]",135,2.25
110,"(6600, 6660]",181,3.0166666666666666,"(6600, 6660]",105,1.75
111,"(6660, 6720]",169,2.816666666666667,"(6660, 6720]",96,1.6
112,"(6720, 6780]",108,1.8,"(6720, 6780]",146,2.433333333333333
113,"(6780, 6840]",154,2.566666666666667,"(6780, 6840]",47,0.7833333333333333
114,"(6840, 6900]",240,4.0,"(6840, 6900]",173,2.8833333333333333
115,"(6900, 6960]",29,0.48333333333333334,"(6900, 6960]",10,0.16666666666666666
116,"(6960, 7020]",27,0.45,"(6960, 7020]",2,0.03333333333333333
117,"(7020, 7080]",29,0.48333333333333334,"(7020, 7080]",19,0.31666666666666665
118,"(7080, 7140]",157,2.6166666666666667,"(7080, 7140]",32,0.5333333333333333
119,"(7140, 7200]",22,0.36666666666666664,"(7140, 7200]",37,0.6166666666666667
120,"(7200, 7260]",31,0.5166666666666667,"(7200, 7260]",44,0.7333333333333333
121,"(7260, 7320]",62,1.0333333333333334,"(7260, 7320]",6,0.1
122,"(7320, 7380]",235,3.9166666666666665,"(7320, 7380]",29,0.48333333333333334
123,"(7380, 7440]",52,0.8666666666666667,"(7380, 7440]",8,0.13333333333333333
124,"(7440, 7500]",2,0.03333333333333333,"(7440, 7500]",0,0.0
125,"(7500, 7560]",232,3.8666666666666667,"(7500, 7560]",31,0.5166666666666667
126,"(7560, 7620]",86,1.4333333333333333,"(7560, 7620]",8,0.13333333333333333
127,"(7620, 7680]",78,1.3,"(7620, 7680]",65,1.0833333333333333
128,"(7680, 7740]",253,4.216666666666667,"(7680, 7740]",233,3.8833333333333333
129,"(7740, 7800]",75,1.25,"(7740, 7800]",29,0.48333333333333334
130,"(7800, 7860]",90,1.5,"(7800, 7860]",49,0.8166666666666667
131,"(7860, 7920]",12,0.2,"(7860, 7920]",5,0.08333333333333333
132,"(7920, 7980]",164,2.7333333333333334,"(7920, 7980]",122,2.033333333333333
133,"(7980, 8040]",365,6.083333333333333,"(7980, 8040]",120,2.0
134,"(8040, 8100]",540,9.0,"(8040, 8100]",74,1.2333333333333334
135,"(8100, 8160]",433,7.216666666666667,"(8100, 8160]",129,2.15
136,"(8160, 8220]",201,3.35,"(8160, 8220]",50,0.8333333333333334
137,"(8220, 8280]",89,1.4833333333333334,"(8220, 8280]",30,0.5
138,"(8280, 8340]",420,7.0,"(8280, 8340]",109,1.8166666666666667
139,"(8340, 8400]",262,4.366666666666666,"(8340, 8400]",194,3.2333333333333334
140,"(8400, 8460]",337,5.616666666666666,"(8400, 8460]",199,3.316666666666667
141,"(8460, 8520]",402,6.7,"(8460, 8520]",315,5.25
142,"(8520, 8580]",355,5.916666666666667,"(8520, 8580]",255,4.25
143,"(8580, 8640]",401,6.683333333333334,"(8580, 8640]",278,4.633333333333334
144,"(8640, 8700]",688,11.466666666666667,"(8640, 8700]",208,3.466666666666667
145,"(8700, 8760]",404,6.733333333333333,"(8700, 8760]",76,1.2666666666666666
146,"(8760, 8820]",504,8.4,"(8760, 8820]",132,2.2
147,"(8820, 8880]",350,5.833333333333333,"(8820, 8880]",75,1.25
148,"(8880, 8940]",320,5.333333333333333,"(8880, 8940]",110,1.8333333333333333
149,"(8940, 9000]",414,6.9,"(8940, 9000]",223,3.716666666666667
150,"(9000, 9060]",379,6.316666666666666,"(9000, 9060]",312,5.2
151,"(9060, 9120]",421,7.016666666666667,"(9060, 9120]",208,3.466666666666667
152,"(9120, 9180]",499,8.316666666666666,"(9120, 9180]",228,3.8
153,"(9180, 9240]",575,9.583333333333334,"(9180, 9240]",213,3.55
154,"(9240, 9300]",551,9.183333333333334,"(9240, 9300]",291,4.85
155,"(9300, 9360]",264,4.4,"(9300, 9360]",353,5.883333333333334
156,"(9360, 9420]",432,7.2,"(9360, 9420]",218,3.6333333333333333
157,"(9420, 9480]",293,4.883333333333334,"(9420, 9480]",179,2.9833333333333334
158,"(9480, 9540]",82,1.3666666666666667,"(9480, 9540]",78,1.3
159,"(9540, 9600]",268,4.466666666666667,"(9540, 9600]",192,3.2
160,"(9600, 9660]",95,1.5833333333333333,"(9600, 9660]",125,2.0833333333333335
161,"(9660, 9720]",347,5.783333333333333,"(9660, 9720]",135,2.25
162,"(9720, 9780]",292,4.866666666666666,"(9720, 9780]",102,1.7
163,"(9780, 9840]",268,4.466666666666667,"(9780, 9840]",53,0.8833333333333333
164,"(9840, 9900]",107,1.7833333333333334,"(9840, 9900]",18,0.3
165,"(9900, 9960]",744,12.4,"(9900, 9960]",41,0.6833333333333333
166,"(9960, 10020]",197,3.283333333333333,"(9960, 10020]",15,0.25
167,"(10020, 10080]",444,7.4,"(10020, 10080]",91,1.5166666666666666
168,"(10080, 10140]",377,6.283333333333333,"(10080, 10140]",105,1.75
169,"(10140, 10200]",34,0.5666666666666667,"(10140, 10200]",141,2.35
170,"(10200, 10260]",137,2.283333333333333,"(10200, 10260]",120,2.0
171,"(10260, 10320]",214,3.566666666666667,"(10260, 10320]",113,1.8833333333333333
172,"(10320, 10380]",252,4.2,"(10320, 10380]",118,1.9666666666666666
173,"(10380, 10440]",306,5.1,"(10380, 10440]",116,1.9333333333333333
174,"(10440, 10500]",228,3.8,"(10440, 10500]",109,1.8166666666666667
175,"(10500, 10560]",124,2.066666666666667,"(10500, 10560]",108,1.8
176,"(10560, 10620]",279,4.65,"(10560, 10620]",49,0.8166666666666667
177,"(10620, 10680]",153,2.55,"(10620, 10680]",224,3.7333333333333334
178,"(10680, 10740]",121,2.0166666666666666,"(10680, 10740]",84,1.4
179,"(10740, 10800]",59,0.9833333333333333,"(10740, 10800]",1,0.016666666666666666
180,"(10800, 10860]",166,2.7666666666666666,"(10800, 10860]",52,0.8666666666666667
181,"(10860, 10920]",146,2.433333333333333,"(10860, 10920]",165,2.75
182,"(10920, 10980]",272,4.533333333333333,"(10920, 10980]",184,3.066666666666667
183,"(10980, 11040]",284,4.733333333333333,"(10980, 11040]",51,0.85
184,"(11040, 11100]",471,7.85,"(11040, 11100]",85,1.4166666666666667
185,"(11100, 11160]",425,7.083333333333333,"(11100, 11160]",50,0.8333333333333334
186,"(11160, 11220]",194,3.2333333333333334,"(11160, 11220]",8,0.13333333333333333
187,"(11220, 11280]",175,2.9166666666666665,"(11220, 11280]",8,0.13333333333333333
188,"(11280, 11340]",162,2.7,"(11280, 11340]",27,0.45
189,"(11340, 11400]",67,1.1166666666666667,"(11340, 11400]",4,0.06666666666666667
190,"(11400, 11460]",487,8.116666666666667,"(11400, 11460]",38,0.6333333333333333
191,"(11460, 11520]",439,7.316666666666666,"(11460, 11520]",91,1.5166666666666666
192,"(11520, 11580]",415,6.916666666666667,"(11520, 11580]",72,1.2
193,"(11580, 11640]",261,4.35,"(11580, 11640]",50,0.8333333333333334
194,"(11640, 11700]",382,6.366666666666666,"(11640, 11700]",61,1.0166666666666666
195,"(11700, 11760]",1,0.016666666666666666,"(11700, 11760]",1,0.016666666666666666
196,"(11760, 11820]",85,1.4166666666666667,"(11760, 11820]",33,0.55
197,"(11820, 11880]",43,0.7166666666666667,"(11820, 11880]",14,0.23333333333333334
198,"(11880, 11940]",31,0.5166666666666667,"(11880, 11940]",36,0.6
199,"(11940, 12000]",247,4.116666666666666,"(11940, 12000]",7,0.11666666666666667
200,"(12000, 12060]",456,7.6,"(12000, 12060]",94,1.5666666666666667
201,"(12060, 12120]",685,11.416666666666666,"(12060, 12120]",73,1.2166666666666666
202,"(12120, 12180]",252,4.2,"(12120, 12180]",60,1.0
203,"(12180, 12240]",238,3.966666666666667,"(12180, 12240]",75,1.25
204,"(12240, 12300]",307,5.116666666666666,"(12240, 12300]",91,1.5166666666666666
205,"(12300, 12360]",169,2.816666666666667,"(12300, 12360]",217,3.6166666666666667
206,"(12360, 12420]",262,4.366666666666666,"(12360, 12420]",101,1.6833333333333333
207,"(12420, 12480]",80,1.3333333333333333,"(12420, 12480]",10,0.16666666666666666
208,"(12480, 12540]",29,0.48333333333333334,"(12480, 12540]",11,0.18333333333333332
209,"(12540, 12600]",0,0.0,"(12540, 12600]",0,0.0
210,"(12600, 12660]",0,0.0,"(12600, 12660]",0,0.0
211,"(12660, 12720]",22,0.36666666666666664,"(12660, 12720]",10,0.16666666666666666
212,"(12720, 12780]",0,0.0,"(12720, 12780]",0,0.0
213,"(12780, 12840]",0,0.0,"(12780, 12840]",0,0.0
214,"(12840, 12900]",192,3.2,"(12840, 12900]",22,0.36666666666666664
215,"(12900, 12960]",399,6.65,"(12900, 12960]",123,2.05
216,"(12960, 13020]",307,5.116666666666666,"(12960, 13020]",252,4.2
217,"(13020, 13080]",334,5.566666666666666,"(13020, 13080]",212,3.533333333333333
