,range,count,Frequency1
263,"(15780, 15840]",1177,19.616666666666667
264,"(15840, 15900]",685,11.416666666666666
265,"(15900, 15960]",806,13.433333333333334
266,"(15960, 16020]",1814,30.233333333333334
267,"(16020, 16080]",1456,24.266666666666666
268,"(16080, 16140]",667,11.116666666666667
269,"(16140, 16200]",1297,21.616666666666667
270,"(16200, 16260]",794,13.233333333333333
271,"(16260, 16320]",1123,18.716666666666665
272,"(16320, 16380]",484,8.066666666666666
273,"(16380, 16440]",517,8.616666666666667
274,"(16440, 16500]",435,7.25
275,"(16500, 16560]",985,16.416666666666668
276,"(16560, 16620]",781,13.016666666666667
277,"(16620, 16680]",676,11.266666666666667
278,"(16680, 16740]",1084,18.066666666666666
279,"(16740, 16800]",1110,18.5
280,"(16800, 16860]",1144,19.066666666666666
281,"(16860, 16920]",791,13.183333333333334
282,"(16920, 16980]",909,15.15
283,"(16980, 17040]",82,1.3666666666666667
284,"(17040, 17100]",581,9.683333333333334
285,"(17100, 17160]",450,7.5
286,"(17160, 17220]",1186,19.766666666666666
287,"(17220, 17280]",1467,24.45
288,"(17280, 17340]",417,6.95
289,"(17340, 17400]",944,15.733333333333333
290,"(17400, 17460]",1433,23.883333333333333
291,"(17460, 17520]",1308,21.8
292,"(17520, 17580]",834,13.9
293,"(17580, 17640]",1890,31.5
294,"(17640, 17700]",1760,29.333333333333332
295,"(17700, 17760]",706,11.766666666666667
296,"(17760, 17820]",40,0.6666666666666666
297,"(17820, 17880]",1651,27.516666666666666
298,"(17880, 17940]",722,12.033333333333333
299,"(17940, 18000]",230,3.8333333333333335
300,"(18000, 18060]",725,12.083333333333334
301,"(18060, 18120]",492,8.2
302,"(18120, 18180]",316,5.266666666666667
303,"(18180, 18240]",685,11.416666666666666
304,"(18240, 18300]",628,10.466666666666667
305,"(18300, 18360]",449,7.483333333333333
306,"(18360, 18420]",640,10.666666666666666
307,"(18420, 18480]",358,5.966666666666667
308,"(18480, 18540]",775,12.916666666666666
309,"(18540, 18600]",1117,18.616666666666667
310,"(18600, 18660]",1288,21.466666666666665
311,"(18660, 18720]",699,11.65
312,"(18720, 18780]",391,6.516666666666667
313,"(18780, 18840]",777,12.95
