,range2,count2,Frequency2
251,"(15060, 15120]",78,1.3
252,"(15120, 15180]",251,4.183333333333334
253,"(15180, 15240]",71,1.1833333333333333
254,"(15240, 15300]",1,0.016666666666666666
255,"(15300, 15360]",0,0.0
256,"(15360, 15420]",16,0.26666666666666666
257,"(15420, 15480]",0,0.0
258,"(15480, 15540]",0,0.0
259,"(15540, 15600]",20,0.3333333333333333
260,"(15600, 15660]",0,0.0
261,"(15660, 15720]",11,0.18333333333333332
262,"(15720, 15780]",0,0.0
263,"(15780, 15840]",27,0.45
264,"(15840, 15900]",0,0.0
265,"(15900, 15960]",152,2.533333333333333
266,"(15960, 16020]",138,2.3
267,"(16020, 16080]",77,1.2833333333333334
268,"(16080, 16140]",117,1.95
269,"(16140, 16200]",49,0.8166666666666667
270,"(16200, 16260]",164,2.7333333333333334
271,"(16260, 16320]",23,0.38333333333333336
272,"(16320, 16380]",29,0.48333333333333334
273,"(16380, 16440]",28,0.4666666666666667
274,"(16440, 16500]",48,0.8
275,"(16500, 16560]",0,0.0
276,"(16560, 16620]",41,0.6833333333333333
277,"(16620, 16680]",5,0.08333333333333333
278,"(16680, 16740]",127,2.1166666666666667
279,"(16740, 16800]",76,1.2666666666666666
280,"(16800, 16860]",0,0.0
281,"(16860, 16920]",4,0.06666666666666667
282,"(16920, 16980]",88,1.4666666666666666
283,"(16980, 17040]",43,0.7166666666666667
284,"(17040, 17100]",26,0.43333333333333335
285,"(17100, 17160]",195,3.25
286,"(17160, 17220]",24,0.4
287,"(17220, 17280]",5,0.08333333333333333
288,"(17280, 17340]",28,0.4666666666666667
289,"(17340, 17400]",11,0.18333333333333332
290,"(17400, 17460]",113,1.8833333333333333
291,"(17460, 17520]",4,0.06666666666666667
292,"(17520, 17580]",50,0.8333333333333334
293,"(17580, 17640]",42,0.7
294,"(17640, 17700]",5,0.08333333333333333
295,"(17700, 17760]",3,0.05
296,"(17760, 17820]",18,0.3
297,"(17820, 17880]",29,0.48333333333333334
298,"(17880, 17940]",0,0.0
299,"(17940, 18000]",28,0.4666666666666667
300,"(18000, 18060]",44,0.7333333333333333
301,"(18060, 18120]",56,0.9333333333333333
302,"(18120, 18180]",80,1.3333333333333333
303,"(18180, 18240]",36,0.6
304,"(18240, 18300]",5,0.08333333333333333
305,"(18300, 18360]",4,0.06666666666666667
306,"(18360, 18420]",106,1.7666666666666666
307,"(18420, 18480]",28,0.4666666666666667
308,"(18480, 18540]",14,0.23333333333333334
309,"(18540, 18600]",0,0.0
310,"(18600, 18660]",69,1.15
311,"(18660, 18720]",129,2.15
312,"(18720, 18780]",7,0.11666666666666667
313,"(18780, 18840]",53,0.8833333333333333
314,"(18840, 18900]",6,0.1
315,"(18900, 18960]",118,1.9666666666666666
316,"(18960, 19020]",10,0.16666666666666666
317,"(19020, 19080]",0,0.0
318,"(19080, 19140]",6,0.1
319,"(19140, 19200]",0,0.0
320,"(19200, 19260]",14,0.23333333333333334
321,"(19260, 19320]",45,0.75
322,"(19320, 19380]",90,1.5
323,"(19380, 19440]",44,0.7333333333333333
324,"(19440, 19500]",31,0.5166666666666667
325,"(19500, 19560]",1,0.016666666666666666
326,"(19560, 19620]",69,1.15
327,"(19620, 19680]",24,0.4
328,"(19680, 19740]",9,0.15
329,"(19740, 19800]",48,0.8
330,"(19800, 19860]",1,0.016666666666666666
331,"(19860, 19920]",2,0.03333333333333333
332,"(19920, 19980]",23,0.38333333333333336
333,"(19980, 20040]",0,0.0
334,"(20040, 20100]",52,0.8666666666666667
335,"(20100, 20160]",52,0.8666666666666667
336,"(20160, 20220]",51,0.85
337,"(20220, 20280]",45,0.75
338,"(20280, 20340]",3,0.05
339,"(20340, 20400]",60,1.0
340,"(20400, 20460]",92,1.5333333333333334
341,"(20460, 20520]",81,1.35
342,"(20520, 20580]",192,3.2
343,"(20580, 20640]",17,0.2833333333333333
344,"(20640, 20700]",45,0.75
345,"(20700, 20760]",5,0.08333333333333333
346,"(20760, 20820]",17,0.2833333333333333
347,"(20820, 20880]",78,1.3
