,ISI1
521,0.015200000000021419
523,0.011199999999973898
525,0.023800000000022692
527,0.02559999999999718
529,0.06319999999999482
531,0.1745999999999981
533,0.10640000000000782
535,0.061599999999998545
537,0.6419999999999959
539,0.12940000000000396
541,0.037399999999990996
543,0.06520000000000437
545,0.11560000000000059
547,0.2891999999999939
86,0.7172000000000196
88,0.032399999999995543
549,0.11439999999998918
551,0.046999999999997044
553,0.18819999999999482
555,0.020800000000008367
557,0.022999999999996135
559,0.05340000000001055
561,0.01480000000000814
563,0.013399999999990087
565,0.013800000000003365
90,0.013399999999990087
567,0.054400000000015325
569,0.07799999999997453
571,0.013200000000011869
573,0.01099999999999568
575,0.2178000000000111
577,0.20699999999999363
579,0.13939999999999486
581,0.021399999999999864
583,0.015199999999992997
585,0.028800000000018144
587,0.0146000000000015
589,0.04359999999999786
591,0.013800000000003365
593,0.013800000000003365
92,0.01659999999998263
595,0.03340000000000032
597,1.271000000000015
599,0.019599999999996953
601,0.013599999999996726
603,0.073599999999999
605,0.07059999999998468
607,0.28540000000000987
609,0.025000000000005684
611,0.46399999999999864
613,0.057399999999972806
615,0.19200000000000728
617,2.8278000000000247
619,0.03280000000000882
621,0.031999999999982265
623,0.03880000000000905
625,0.039199999999993906
627,0.022199999999998
629,0.09320000000002437
631,0.14679999999998472
633,0.21420000000000528
635,0.3231999999999857
637,0.4013999999999953
639,0.04660000000001219
641,0.0671999999999855
643,0.05680000000000973
645,0.07159999999998945
647,0.06800000000001205
649,0.066599999999994
651,0.0695999999999799
653,1.4512000000000285
655,0.015199999999992997
657,0.20699999999999363
659,0.09560000000001878
661,0.03999999999999204
663,0.020999999999986585
665,0.248800000000017
667,0.07239999999998759
669,0.03340000000000032
671,0.0338000000000136
673,0.030000000000001137
675,0.035599999999988086
677,0.011600000000015598
679,0.010400000000004184
681,0.08259999999998513
683,0.015399999999999636
685,0.032199999999988904
687,0.0262000000000171
689,0.03139999999999077
691,0.028799999999989723
693,0.015400000000028058
94,0.7763999999999953
96,0.020999999999986585
695,0.1751999999999896
697,0.021000000000015007
699,0.022199999999998
701,0.020000000000010232
703,0.0146000000000015
705,0.018999999999977035
707,0.028800000000018144
709,0.09219999999999118
711,0.07779999999999632
713,0.023200000000002774
715,0.017599999999987403
717,0.01500000000001478
719,0.011400000000008959
721,0.014999999999986358
723,0.019600000000025375
725,0.018799999999970396
727,0.013599999999996726
729,0.05020000000001801
731,0.05680000000000973
733,0.19259999999997035
735,0.12120000000001596
737,0.41379999999998063
739,0.24900000000002365
741,0.06479999999999109
743,6.331000000000017
745,0.019399999999990314
747,0.03999999999999204
749,0.03180000000000405
751,0.14500000000001023
753,0.02740000000000009
755,0.14279999999999404
757,0.32560000000000855
759,0.057599999999979445
761,0.052199999999999136
763,0.025000000000005684
765,0.03180000000000405
767,0.09479999999999222
769,26.677600000000012
771,0.03440000000000509
773,0.10759999999999081
98,0.01640000000000441
775,0.03719999999998436
777,0.049000000000006594
779,0.016199999999997772
781,0.0262000000000171
783,0.03159999999999741
785,0.03459999999998331
787,0.03660000000002128
789,0.031999999999982265
791,0.2734000000000094
100,18.650800000000004
102,1.8275999999999897
104,21.381400000000014
106,8.989599999999996
